STATE,Date,Home Value,Structure Cost,Land Value,Land Share (Pct),Home Price Index,Land Price Index
AL,2011Q2,160045.591898648,150281.048327073,9764.54357157435,6.101101227304%,1.43265864097908,0.558976436328341
AL,2011Q3,160369.896754121,151719.720190539,8650.17656358174,5.39389046115319%,1.43556167722015,0.495352002073996
AL,2011Q4,161406.665130896,153015.856528169,8390.80860272708,5.19855149471207%,1.44484237752598,0.480632354281878
AL,2012Q1,162965.040034274,154140.980469582,8824.05956469223,5.41469480990302%,1.45879227295718,0.505547906313549
AL,2012Q2,164767.286726892,155167.763724857,9599.52300203481,5.82610977745017%,1.47492520274752,0.550192573561816
AL,2012Q3,166630.975117947,156189.811219292,10441.1638986545,6.2660402072687%,1.49160813194202,0.598711141157519
AL,2012Q4,168627.640603453,157301.632547273,11326.0080561801,6.71657861999888%,1.5094814143425,0.649795747445353
AL,2013Q1,170683.18235645,158574.094691793,12109.0876646571,7.09448200899422%,1.52788173152329,0.695124564703627
AL,2013Q2,172782.412784546,159984.761431144,12797.6513534022,7.40680208544164%,1.54667313075236,0.73510147510212
AL,2013Q3,174873.977601956,161487.866034047,13386.1115679086,7.65471898762308%,1.56539591076324,0.769392211689568
AL,2013Q4,176896.364677733,163037.630844901,13858.7338328317,7.83438023617916%,1.58349944167055,0.797076699322656
AL,2014Q1,178892.931686454,166016.913200042,12876.0184864116,7.19761164682541%,1.6013718425496,0.740968558935195
AL,2014Q2,180962.293138256,166086.130087397,14876.1630508594,8.22058716922529%,1.61989586767309,0.856680485566909
AL,2014Q3,183210.488387227,169511.520673572,13698.9677136553,7.47717438791037%,1.6400207352926,0.789350460365291
AL,2014Q4,185571.79789885,172845.286631422,12726.5112674276,6.85799858142482%,1.66115815267298,0.733693596261778
AL,2015Q1,187849.488127618,172904.626269561,14944.861858057,7.95576395071359%,1.68154704654383,0.86217954762783
AL,2015Q2,190092.38886425,171133.217179798,18959.1716844521,9.97366164827954%,1.70162451998795,1.09471102455297
AL,2015Q3,192154.871391296,171944.964979844,20209.906411452,10.5175092700603%,1.7200869679641,1.16792665342719
AL,2015Q4,194063.222521331,173452.064262634,20611.1582586969,10.6208471604822%,1.73716969860374,1.19212651084098
AL,2016Q1,195946.20541831,175060.553369165,20885.652049145,10.6588703795299%,1.7540253438369,1.20902924630233
AK,1975Q1,53765.4529227934,39547.5376600856,14217.9152627079,26.4443327263041%,0.353869315433636,0.0659983638999612
AK,1975Q2,55530.8165907783,40933.1905367112,14597.6260540671,26.2874327270225%,0.365488450002786,0.0690446749773196
AK,1975Q3,57322.2013172783,42470.3549386063,14851.8463786721,25.9094138699718%,0.377278847969955,0.0714227520975359
AK,1975Q4,59078.8075174307,44034.3476843083,15044.4598331224,25.4650702431386%,0.388840343312085,0.073411252136775
AK,1976Q1,60772.0218724753,45540.4849722176,15231.5369002578,25.0634032420705%,0.39998461109241,0.0753828714439835
AK,1976Q2,62357.4080394315,46902.2024189926,15455.2056204389,24.7848749753452%,0.410419183612506,0.0772826982852463
AK,1976Q3,63840.6861539288,48126.2106534043,15714.4755005245,24.6151419216184%,0.420181709220327,0.0792115816502913
AK,1976Q4,65254.6643400076,49197.2946500836,16057.369689924,24.6072366662673%,0.429488121898824,0.0814089648342828
AK,1977Q1,66586.2296936528,50007.396622087,16578.8330715657,24.8982907544713%,0.438252116146695,0.0838162770239235
AK,1977Q2,67768.0269087027,50860.3754314513,16907.6514772514,24.949304633038%,0.446030377999555,0.0858163931959695
AK,1977Q3,69123.6971216244,51719.6869259552,17404.0101956692,25.1780661631083%,0.45495302375294,0.0887170586194914
AK,1977Q4,70687.942172004,52653.4519866436,18034.4901853603,25.5128238723901%,0.46524845130087,0.0923619726820743
AK,1978Q1,72622.3362270877,53774.1412569966,18848.1949700911,25.9537161007233%,0.477980097048082,0.0972695128113
AK,1978Q2,74981.3218205953,55006.9647861755,19974.3570344198,26.6391103136479%,0.493506286668228,0.103536378354685
AK,1978Q3,77392.001462531,56432.7320833057,20959.2693792253,27.0819580617418%,0.509372712193306,0.109049269281796
AK,1978Q4,79656.5818527284,58083.7355554843,21572.8462972442,27.0823148514315%,0.524277552920201,0.112587572694772
AK,1979Q1,81622.662459398,59913.1380175164,21709.5244418815,26.5974225634708%,0.537217750771199,0.113413436299034
AK,1979Q2,82957.0512177662,61781.7876359359,21175.2635818303,25.5255741024886%,0.546000327886735,0.110875918092388
AK,1979Q3,83185.7454738051,63398.7771766729,19786.9682971322,23.786489120739%,0.547505530120301,0.103831144667636
AK,1979Q4,82430.1322803489,64503.5360732325,17926.5962071165,21.7476251841344%,0.542532293423403,0.0942600758471007
AK,1980Q1,81066.9167645116,64874.3628386968,16192.5539258148,19.9743058846705%,0.533559986576652,0.0850046526487595
AK,1980Q2,79813.6900000004,64860.2408180444,14953.4491819559,18.7354439845543%,0.525311595218775,0.0787476478997816
AK,1980Q3,80332.3277314539,64718.5230863625,15613.8046450914,19.4365146461178%,0.528725125078759,0.0825932324765493
AK,1980Q4,83683.2600509981,64776.9065099588,18906.3535410392,22.5927545479435%,0.550780033231106,0.100602469030986
AK,1981Q1,89274.9860414541,65288.0836241316,23986.9024173226,26.8685591350128%,0.587583224514114,0.128511254620943
AK,1981Q2,96559.771845226,66283.2784142148,30276.4934310112,31.3551832739837%,0.635529666426604,0.163668548359159
AK,1981Q3,104374.314477542,67676.0714459211,36698.2430316205,35.1602242518363%,0.686962821015582,0.200464395143074
AK,1981Q4,111767.377698003,69381.8645986011,42385.5130994019,37.9229735656214%,0.735621914886494,0.234279859369788
AK,1982Q1,117928.063442504,71439.2298109171,46488.8336315871,39.4213491466794%,0.776169841640482,0.261006023996077
AK,1982Q2,122609.907385667,73547.4729067276,49062.4344789399,40.0150652790356%,0.806984441370784,0.279125071361111
AK,1982Q3,126214.346065158,75831.7054109614,50382.6406541967,39.9183153301659%,0.83070785815043,0.290506985965079
AK,1982Q4,128845.227615397,78298.0830102699,50547.1446051273,39.2309017110129%,0.848023591629082,0.295438296030211
AK,1983Q1,130936.695033155,81067.2520002543,49869.4430329009,38.0866822858735%,0.861789050732283,0.296346569958988
AK,1983Q2,132916.133180691,83641.8773044979,49274.2558761931,37.0716892652963%,0.874817164216561,0.296521456653224
AK,1983Q3,134944.726402057,85986.2769197937,48958.4494822633,36.2803725552013%,0.888168802778388,0.298076018658956
AK,1983Q4,136877.331305896,87914.0826354376,48963.2486704581,35.7716271959118%,0.900888672827788,0.301337131906635
AK,1984Q1,138563.463334046,89278.2057965963,49285.2575374497,35.5687252263851%,0.911986326694651,0.306260551825587
AK,1984Q2,139791.228464349,90215.714377481,49575.514086868,35.4639662527261%,0.920067136630308,0.31095123168094
AK,1984Q3,140480.74356785,90868.2028025136,49612.5407653368,35.3162572359069%,0.924605334011581,0.313900491127616
AK,1984Q4,140404.80387458,91393.7266586941,49011.0772158863,34.9069802908357%,0.92410551998955,0.312610294160305
AK,1985Q1,139735.080227569,91929.9675115607,47805.1127160081,34.2112464802353%,0.919697584491675,0.307240955508415
AK,1985Q2,138908.908649994,92484.9642782714,46423.944371723,33.4204226517223%,0.914259952058693,0.300416106967976
AK,1985Q3,138047.537950913,93056.1797685156,44991.3581823975,32.5912065149583%,0.908590648759858,0.29296823636013
AK,1985Q4,137095.928460437,93635.3622810333,43460.5661794036,31.700843830636%,0.902327418736696,0.284600704533746
AK,1986Q1,135973.402972609,94311.8071316604,41661.5958409488,30.6395184132747%,0.894939266971196,0.274842465925712
AK,1986Q2,134352.954564825,94846.0202914524,39506.9342733728,29.4053334378372%,0.884273924495956,0.261548813281456
AK,1986Q3,131868.782771373,95334.2759709842,36534.5068003887,27.7051975703228%,0.867923793990576,0.242362261901512
AK,1986Q4,128526.757410396,95778.3009086423,32748.4565017535,25.4798745114102%,0.845927508971847,0.217366758254828
AK,1987Q1,124554.003231346,96027.7586990323,28526.2445323139,22.9027119098929%,0.819779941615813,0.188139860916195
AK,1987Q2,120441.699833641,96451.9173924088,23989.7824412322,19.9181699314838%,0.792713899964662,0.158195635701581
AK,1987Q3,117057.935739857,96882.8474403292,20175.0882995281,17.2351307683778%,0.770442902170304,0.133114095899314
AK,1987Q4,115229.701614212,97310.1010704608,17919.6005437513,15.5511992938643%,0.758409971667078,0.118376941252098
AK,1988Q1,115278.67951857,97753.9852044391,17524.6943141305,15.2020255500129%,0.758732330664244,0.116133123697587
AK,1988Q2,116140.763603087,98176.7879613576,17963.9756417295,15.4674165077144%,0.764406329268376,0.119291918661714
AK,1988Q3,116956.832649624,98617.827555277,18339.0050943472,15.6801485461621%,0.769777469640975,0.122058597993274
AK,1988Q4,116486.504200386,99090.4694121116,17396.0347882748,14.9339487073534%,0.766681898092461,0.116060843702676
AK,1989Q1,114139.100351866,99616.2240843485,14522.8762675179,12.7238397908753%,0.751231936309103,0.0972477286346119
AK,1989Q2,110590.806065472,100130.083512136,10460.7225533358,9.45894412519507%,0.727878046370025,0.070167259213549
AK,1989Q3,107681.712154524,100630.232597823,7051.47955670102,6.54844672843062%,0.70873119621185,0.0473421223323894
AK,1989Q4,106418.897583801,101097.952704611,5320.94487919006,5%,0.700419700569786,0.0357343507669127
AK,1990Q1,107277.430995847,101913.559446055,5363.87154979237,5%,0.706070329631425,0.0387042717615678
AK,1990Q2,110159.3,104651.335,5507.96500000001,5%,0.72503799299573,0.0569118807259886
AK,1990Q3,113453.702368225,107781.017249814,5672.68511841128,5%,0.746720836670104,0.0878536381810094
AK,1990Q4,116642.155731216,110810.047944655,5832.10778656081,5%,0.767706353345167,0.133630941875508
AK,1991Q1,119398.642324908,113428.710208662,5969.9321162454,5%,0.78584878442098,0.192887786033933
AK,1991Q2,121480.629925692,115406.598429407,6074.0314962846,5%,0.799551849995241,0.254442981283851
